build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
93053809,ff7850cf2136f001f3af1e9d0100fcdd829bc9ff,,master,passed,1065,2015-11-24 23:03:11 UTC,93053811,93053814,push
93048357,aa751f6289ea16ef35955f7563038c6c51c6a4e2,,master,passed,1031,2015-11-24 22:34:13 UTC,93048358,93048360,push
93035850,acc3fe3dead2f3f156d1b75cb10cdc7dbbb1d84e,,master,passed,1163,2015-11-24 21:30:34 UTC,93035851,93035852,push
93034318,20aacc51061df68a77f7d5052d42bef24273e997,,master,passed,999,2015-11-24 21:22:00 UTC,93034319,93034320,push
93003980,9054725ba29c0fc9960a7334cedc74922893b8a5,,master,passed,1137,2015-11-24 19:00:17 UTC,93003982,93003983,push
92983147,e04b5a1a558bfba142c2f3c21c08bd6b18aa54cc,,master,passed,1105,2015-11-24 17:24:15 UTC,92983148,92983149,push
92755494,2faacd1074bd06a57f4e269cb91878ffea9f7bd8,758,master,passed,963,2015-11-23 17:15:21 UTC,92755495,92755497,pull_request
92668065,b0555b3a01d24dbad5e7775425da1c19061d34b3,762,master,passed,931,2015-11-23 08:35:18 UTC,92668066,92668067,pull_request
92548870,1a6b34724458557d40a6d09d06acb7af084edbc4,762,master,passed,933,2015-11-22 13:02:28 UTC,92548871,92548872,pull_request
92547443,fb1881ffd85e93003af2d6e46ee7625aa26e302b,762,master,passed,976,2015-11-22 12:49:52 UTC,92547444,92547445,pull_request
92543848,e46caa46e8baf669e685f87194b0efca4389c7a0,761,master,passed,1042,2015-11-22 12:15:38 UTC,92543849,92543850,pull_request
92370679,b907f40e0cda5c0bbb8404e4a06a1a9c7c125f88,758,master,passed,1024,2015-11-20 23:30:55 UTC,92370680,92370681,pull_request
92370462,8c03bfe6fd962662956df62dc2a08e37bb2d791a,758,master,passed,967,2015-11-20 23:29:09 UTC,92370463,92370464,pull_request
92364528,a08ce89d890b466aa3cae22e8275758db88f637b,758,master,passed,1057,2015-11-20 22:56:38 UTC,92364529,92364530,pull_request
92352392,6fe85b223f7528baf35b29de7157f8b5bebbb9fd,758,master,passed,1023,2015-11-20 21:44:23 UTC,92352394,92352395,pull_request
92200406,b666cd25f2e96bcaa0411e7885a446413861e05e,758,master,passed,986,2015-11-20 05:09:52 UTC,92200407,92200408,pull_request
90116156,bcf26d4269269a40d584b9749994aad84b360016,727,master,passed,1090,2015-11-09 15:27:37 UTC,90116157,90116158,pull_request
90113777,676b3aa1a209a800428ca2a1113a91a8d8b6eac3,727,master,passed,1041,2015-11-09 15:16:26 UTC,90113778,90113779,pull_request
90010869,e7052a75a22da1deb9334cce8a8a53aad2c57c70,727,master,failed,392,2015-11-09 00:56:41 UTC,90010870,90010871,pull_request
89713675,2faaba5ef09dec2148cd7914884d5f5013422b82,727,master,passed,990,2015-11-06 19:29:20 UTC,89713676,89713677,pull_request
89348749,d84536b75e2c0693d9e3744ccd5ea7b2d7cdc830,727,master,passed,1068,2015-11-05 00:30:51 UTC,89348750,89348751,pull_request
89242238,4f159aa051fd807aefe610772855e30b06a8aa82,,master,passed,1085,2015-11-04 15:37:17 UTC,89242239,89242240,push
88861920,8a291a8782f2694d9db9766680af62e6eab085bb,,master,passed,1049,2015-11-02 19:57:21 UTC,88861921,88861923,push
88380877,22c5c8fe925673a4ae2de128cd30ad7911fa2f53,,master,passed,1065,2015-10-30 16:44:10 UTC,88380878,88380879,push
88129248,1adc5c8de2fa69fc1f42663ed179e3feeff6894c,709,master,passed,947,2015-10-29 14:56:16 UTC,88129252,88129253,pull_request
88125030,e402e896cbbcccac5def9321a0745a326b6274e3,,3.0,passed,445,2015-10-29 14:37:43 UTC,88125032,push
88104875,6963c7502b6b0f7a03718a2d8fa2abfa5b9205af,717,3.0,passed,422,2015-10-29 12:55:02 UTC,88104876,pull_request
88104784,8813c31909eb85f2d89a950a38f1b2963d1bbcb9,716,master,passed,1031,2015-10-29 12:54:30 UTC,88104785,88104786,pull_request
88070987,088d969fbd2f6c824a66ffc99966ad40365f92d2,709,master,passed,1012,2015-10-29 08:49:40 UTC,88070988,88070989,pull_request
87979938,c1ce94fa10ed7b0aaa16f95e1c729a2deb1c1d1d,,master,passed,898,2015-10-28 20:36:27 UTC,87979939,87979940,push
87019744,7281342b42780d03aa0e5b95ae8a1125f3f70e72,709,master,passed,939,2015-10-23 12:22:06 UTC,87019746,87019747,pull_request
87010174,0d1c598f6f1b4e3fa70e89e23e9a2195ba77ec90,709,master,passed,935,2015-10-23 11:20:08 UTC,87010175,87010176,pull_request
87009819,664e632f5d0620d2bb58d694d8336a6bd410bd80,709,master,passed,894,2015-10-23 11:17:19 UTC,87009820,87009821,pull_request
87002342,3184ff44b2a2d1469f6da774206f8896fb65c0cd,709,master,passed,1061,2015-10-23 10:19:34 UTC,87002343,87002344,pull_request
